epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3884,0.73548,2.36724,1.09834,0.56306,0.59656,0.5525,0.4683,0.6582,1.95199,1.02292,0.000411458,0.000411458,0.000411458
2,62.8639,0.7199,1.66393,1.05135,0.65109,0.47627,0.54776,0.47066,0.63844,1.54084,1.01386,0.000811728,0.000811728,0.000811728
3,92.7325,0.69151,1.46418,1.02197,0.51554,0.8043,0.59797,0.50999,0.59995,1.29286,0.98287,0.0011955,0.0011955,0.0011955
4,123.413,0.67161,1.32789,0.99961,0.5375,0.81713,0.64853,0.54944,0.59035,1.11141,0.97618,0.00117575,0.00117575,0.00117575
5,153.89,0.68894,1.22926,1.01558,0.49097,0.61141,0.6078,0.50999,0.61785,1.07615,0.96848,0.001151,0.001151,0.001151
6,183.16,0.66023,1.18128,1.0052,0.50909,0.83921,0.65018,0.54383,0.60597,0.93245,0.98841,0.00112625,0.00112625,0.00112625
7,213.088,0.6417,1.063,0.99612,0.62082,0.66187,0.65724,0.55681,0.59958,0.92851,1.00755,0.0011015,0.0011015,0.0011015
8,243.19,0.64188,1.00903,0.99486,0.53481,0.77429,0.65938,0.56888,0.54338,0.93708,0.94738,0.00107675,0.00107675,0.00107675
9,271.713,0.61642,0.99122,0.96947,0.49595,0.85055,0.6922,0.59035,0.53832,0.92594,0.93053,0.001052,0.001052,0.001052
10,300.094,0.63964,0.96986,0.98278,0.51611,0.82756,0.66573,0.5668,0.55964,0.86903,0.95999,0.00102725,0.00102725,0.00102725
11,329.43,0.60377,0.9189,0.9689,0.62184,0.80738,0.69924,0.60061,0.54261,0.78977,0.94028,0.0010025,0.0010025,0.0010025
12,358.962,0.59037,0.92454,0.97153,0.53021,0.88637,0.68596,0.5895,0.53772,0.84967,0.92658,0.00097775,0.00097775,0.00097775
13,388.249,0.5954,0.9025,0.97298,0.62885,0.76518,0.68982,0.59076,0.54582,0.82495,0.936,0.000953,0.000953,0.000953
14,416.544,0.56864,0.87239,0.96241,0.59263,0.86115,0.72171,0.61205,0.54887,0.78738,0.93328,0.00092825,0.00092825,0.00092825
15,446.09,0.55185,0.87541,0.94792,0.61104,0.71797,0.66055,0.57299,0.51198,0.88539,0.92381,0.0009035,0.0009035,0.0009035
16,475.643,0.58302,0.84962,0.96212,0.45813,0.76422,0.60331,0.52239,0.58675,0.95496,0.97537,0.00087875,0.00087875,0.00087875
17,505.828,0.57227,0.84237,0.95469,0.54062,0.85011,0.70192,0.61762,0.51168,0.75805,0.92495,0.000854,0.000854,0.000854
18,535.441,0.56499,0.84482,0.9631,0.60053,0.81205,0.67445,0.58568,0.51239,0.80408,0.9244,0.00082925,0.00082925,0.00082925
19,565.454,0.53665,0.80398,0.94692,0.55733,0.873,0.70124,0.61078,0.49972,0.75888,0.9159,0.0008045,0.0008045,0.0008045
20,595.687,0.55899,0.8109,0.94896,0.61629,0.8031,0.70291,0.61852,0.50314,0.76208,0.91194,0.00077975,0.00077975,0.00077975
21,624.765,0.5298,0.7832,0.94311,0.56159,0.84892,0.70457,0.60944,0.50102,0.74944,0.91547,0.000755,0.000755,0.000755
22,653.114,0.55464,0.79558,0.95982,0.65172,0.73518,0.70535,0.62135,0.52124,0.76093,0.92382,0.00073025,0.00073025,0.00073025
23,682.772,0.53628,0.77226,0.94211,0.64686,0.74808,0.69567,0.60499,0.49646,0.7533,0.91221,0.0007055,0.0007055,0.0007055
24,711.81,0.52474,0.78468,0.94581,0.572,0.8927,0.6957,0.60743,0.50409,0.752,0.92631,0.00068075,0.00068075,0.00068075
25,740.463,0.52694,0.75675,0.94341,0.51096,0.86112,0.68412,0.60003,0.50682,0.76491,0.91184,0.000656,0.000656,0.000656
26,769.418,0.52608,0.77474,0.94353,0.55316,0.8995,0.69767,0.6129,0.48527,0.72788,0.90212,0.00063125,0.00063125,0.00063125
27,798.989,0.53832,0.76992,0.95266,0.56048,0.86654,0.71585,0.62899,0.49515,0.70407,0.90833,0.0006065,0.0006065,0.0006065
